,col2,NOME_DO_MUNICIPIO,POP_TOTAL,DOM_PART_PERM,DENSIDADE_POPULACAO_1000HAB_KM2,TX_IMOVEIS_VAGOS,PCT_DOM_CASA,PCT_DOM_APART,PCT_DOM_PROPR_QUITADO,PCT_DOM_PROPR_NAO_QUITADO,PCT_DOM_ALUGADO,NOME_DA_UF,municipio_UF,cleaned,code,string,value
360,1832,Arroio do Sal,10279,4100,0.0849131461766304,6.159246848571884,85.14634146341464,14.829268292682926,77.34146341463415,4.6585365853658525,10.439024390243905,RS,Arroio do Sal RS,arroio do sal rs,4301057,arroio do sal rs,1.0
361,2046,Arroio do Tigre,13413,4747,0.0420944037739422,7.402422611036339,95.30229618706552,4.444912576364019,80.55614072045502,3.918264166842216,7.373077733305244,RS,Arroio do Tigre RS,arroio do tigre rs,4301206,arroio do tigre rs,1.0
362,803,Arroio dos Ratos,14177,5391,0.0332487491284451,10.593607305936072,99.202374327583,0.7790762381747357,80.48599517714709,1.7621962530142832,8.384344277499537,RS,Arroio dos Ratos RS,arroio dos ratos rs,4301107,arroio dos ratos rs,1.0
363,3939,Artur Nogueira,55340,19154,0.3100755115765586,6.329856878414376,98.24579722251228,0.7570220319515506,60.04489923775713,5.189516550067872,26.083324631930672,SP,Artur Nogueira SP,artur nogueira sp,3503802,artur nogueira sp,1.0
364,1455,Aruanã,10110,3582,0.0033025060614304,8.24742268041237,98.74371859296484,0.8096035734226688,49.022892238972645,1.3958682300390843,15.522054718034616,GO,Aruanã GO,aruana go,5202502,aruana go,1.0
365,1920,Arujá,91157,29515,0.9473022316522008,7.363193010800948,93.51516178214467,2.8968321192613926,65.34643401660172,3.720142300525157,19.61714382517364,SP,Arujá SP,aruja sp,3503901,aruja sp,1.0
366,3067,Arvoredo,2234,750,0.0245700918566191,8.111239860950175,98.53333333333332,1.0666666666666669,73.46666666666667,13.066666666666665,4.0,SC,Arvoredo SC,arvoredo sc,4201653,arvoredo sc,1.0
367,3108,Arvorezinha,10423,3728,0.0383182562532486,9.843713552600889,91.12124463519312,8.851931330472102,73.95386266094421,7.242489270386265,10.139484978540771,RS,Arvorezinha RS,arvorezinha rs,4301404,arvorezinha rs,1.0
368,3711,Arês,14417,4293,0.1242808029754663,7.19983207388749,99.65059399021663,0.3494060097833683,83.11204286047054,0.4425809457255998,8.269275564873048,RN,Arês RN,ares rn,2401206,ares rn,1.0
369,2790,Ascurra,7978,2994,0.0718141303401981,8.456534594914253,92.75217100868404,7.080828323313293,79.69271877087509,1.503006012024048,14.19505678022712,SC,Ascurra SC,ascurra sc,4201703,ascurra sc,1.0
370,4343,Aspásia,1818,655,0.0261441737719534,15.167095115681231,100.0,0.0,62.44274809160305,9.618320610687023,14.9618320610687,SP,Aspásia SP,aspasia sp,3503950,aspasia sp,1.0
371,1636,Assaré,23478,8622,0.0209415218678644,17.014230734807125,95.0707492461146,3.9086058919044304,69.0211087914637,1.4845743446996056,13.569937369519833,CE,Assaré CE,assare ce,2301604,assare ce,1.0
372,3147,Assaí,14954,5557,0.033879449487628,12.962683184771116,98.84829944214506,1.133705236638474,60.230340111570975,10.041389238797912,16.663667446463922,PR,Assaí PR,assai pr,4101903,assai pr,1.0
373,3948,Assis,105087,37464,0.2277277746846624,5.219349784567176,92.77172752509075,6.988041853512706,59.73734785393978,9.011317531496903,23.0995088618407,SP,Assis SP,assis sp,3504008,assis sp,1.0
374,2661,Assis Brasil,7534,2248,0.0015085641354164,5.978855267954794,99.59964412811388,0.3113879003558719,82.91814946619219,0.2224199288256228,8.31850533807829,AC,Assis Brasil AC,assis brasil ac,1200054,assis brasil ac,1.0
375,3162,Assis Chateaubriand,33340,12425,0.0343106220743113,7.378440197742197,96.523138832998,3.299798792756539,66.22937625754527,6.309859154929577,17.37625754527163,PR,Assis Chateaubriand PR,assis chateaubriand pr,4102000,assis chateaubriand pr,1.0
376,4981,Assunção,4029,1409,0.0317320961118487,12.942542077771328,100.0,0.0,70.9013484740951,0.7097232079489,16.394606103619587,PB,Assunção PB,assuncao pb,2501351,assuncao pb,1.0
377,4238,Assunção do Piauí,7863,2183,0.0046305710101394,20.110120608285264,99.77095739807604,0.0,90.1969766376546,0.2290426019239579,1.9697663765460376,PI,Assunção do Piauí PI,assuncao do piaui pi,2201051,assuncao do piaui pi,1.0
378,409,Astolfo Dutra,14270,5149,0.0895674788892323,9.792186201163757,94.270732181006,5.612740337929696,71.21771217712177,1.3400660322392697,17.420858419110505,MG,Astolfo Dutra MG,astolfo dutra mg,3104601,astolfo dutra mg,1.0
379,3141,Astorga,26209,9888,0.0601356021323164,8.482305727836556,98.18972491909386,1.7597087378640777,62.29773462783172,10.831310679611653,17.81957928802589,PR,Astorga PR,astorga pr,4102109,astorga pr,1.0
380,5177,Atalaia,3881,1480,0.0281240645315465,11.283822682786411,100.0,0.0,54.3918918918919,21.418918918918923,13.378378378378384,PR,Atalaia PR,atalaia pr,4102208,atalaia pr,1.0
381,4527,Atalaia,47365,14198,0.0892078304557677,8.877444669241614,97.7109452035498,0.0,70.20707141850966,1.4931680518382868,15.671221298774473,AL,Atalaia AL,atalaia al,2700409,atalaia al,1.0
382,2532,Atalaia do Norte,20398,4097,0.0002912462400725,1.9804234008650128,94.1420551623139,1.1471808640468637,95.4356846473029,0.2196729314132292,1.2448132780082988,AM,Atalaia do Norte AM,atalaia do norte am,1300201,atalaia do norte am,1.0
383,3800,Atalanta,3195,1238,0.0338647142990765,7.785714285714285,96.4458804523425,3.3117932148626816,75.8481421647819,3.231017770597738,10.904684975767369,SC,Atalanta SC,atalanta sc,4201802,atalanta sc,1.0
384,3316,Ataléia,12678,4435,0.0068797172042265,17.600550017188038,99.27846674182636,0.7215332581736189,75.06200676437429,0.2480270574971815,8.275084554678692,MG,Ataléia MG,ataleia mg,3104700,ataleia mg,1.0
385,116,Atibaia,144088,47459,0.3003885444433441,8.076425612731054,91.82030805537411,4.1846646579152535,59.440780463136605,4.030847679049285,23.54242609410228,SP,Atibaia SP,atibaia sp,3504107,atibaia sp,1.0
386,159,Atilio Vivacqua,12105,4246,0.0540244930422353,7.681248716368864,97.38577484691471,2.6142251530852567,65.87376354215732,1.4837494112105512,17.993405558172398,ES,Atilio Vivacqua ES,atilio vivacqua es,3200706,atilio vivacqua es,1.0
387,1748,Augustinópolis,18643,5943,0.0469951571060806,10.532854776366648,97.8125525828706,1.060070671378092,76.42604745078245,0.6225811879522127,14.117449099781256,TO,Augustinópolis TO,augustinopolis to,1702554,augustinopolis to,1.0
